name,rating,acs,kd_diff,adr,kpr,apr,fpr,hs,kast,event
"nuuh
FDS",,86,1.00,230.8,1.05,74%,150.0,0.79,0.16,Corsair Championship 2024
"shelbyN
STE",,49,1.00,185.5,1.06,73%,128.8,0.69,0.29,Corsair Championship 2024
"kzr
SES",,126,0.99,202.8,0.99,69%,139.1,0.68,0.33,Corsair Championship 2024
"helkii
SES",,85,0.98,174.5,0.98,76%,120.2,0.65,0.24,Corsair Championship 2024
"turkish
LRJ",,42,0.96,203.5,1.21,64%,147.9,0.83,0.12,Corsair Championship 2024
"gattizada
LRJ",,42,0.95,182.0,0.90,76%,113.2,0.62,0.33,Corsair Championship 2024
"nicksz
STE",,49,0.95,197.5,0.79,67%,131.4,0.63,0.49,Corsair Championship 2024
"h1perZ
FDS",,86,0.94,189.3,0.98,78%,120.6,0.73,0.29,Corsair Championship 2024
"vit9ine
OPI",,78,0.94,213.8,1.00,63%,138.2,0.76,0.26,Corsair Championship 2024
"Luid
LRJ",,42,0.94,233.5,1.03,74%,159.8,0.83,0.26,Corsair Championship 2024
"jaozy
SGZ",,43,0.92,176.5,1.00,65%,112.2,0.60,0.09,Corsair Championship 2024
"Lewa
OS C",,47,0.91,195.5,1.00,66%,124.5,0.70,0.15,Corsair Championship 2024
"depppx
SGZ",,43,0.90,171.0,0.84,67%,110.3,0.60,0.42,Corsair Championship 2024
"Kring
insa",,85,0.90,207.5,0.92,66%,134.8,0.67,0.16,Corsair Championship 2024
"Coreano
FDS",,86,0.90,176.5,0.84,70%,114.4,0.59,0.33,Corsair Championship 2024
"jotavê
insa",,85,0.89,167.3,0.80,66%,116.9,0.55,0.26,Corsair Championship 2024
"nocz
LRJ",,42,0.87,185.5,0.78,62%,118.2,0.60,0.36,Corsair Championship 2024
"docas
insa",,85,0.82,155.8,0.81,66%,106.7,0.54,0.25,Corsair Championship 2024
"Siduzord
STE",,49,0.78,122.0,0.58,65%,87.8,0.37,0.24,Corsair Championship 2024
"muri
insa",,85,0.75,169.8,0.80,67%,104.0,0.61,0.12,Corsair Championship 2024
"guiih9
OPI",,78,0.74,183.8,0.80,65%,123.3,0.67,0.21,Corsair Championship 2024
"hunterr
OPI",,78,0.65,136.3,0.61,58%,103.4,0.49,0.29,Corsair Championship 2024
"Stwz1
LRJ",,42,0.62,160.5,0.61,57%,108.8,0.52,0.19,Corsair Championship 2024
"vini
OPI",,78,0.60,134.8,0.55,65%,90.0,0.47,0.28,Corsair Championship 2024
"Leen
TWIS.O",,89,1.51,342.2,1.76,72%,211.8,1.15,0.18,Game Changers 2024 EMEA: Kickoff
"NAKSU
HOWL.M",,147,1.48,339.6,1.65,81%,213.5,1.19,0.16,Game Changers 2024 EMEA: Kickoff
"adora
NB",,235,1.47,297.3,1.83,76%,190.5,1.11,0.14,Game Changers 2024 EMEA: Kickoff
"Akita
CG.GC",,154,1.46,313.4,1.57,79%,191.7,1.08,0.36,Game Changers 2024 EMEA: Kickoff
"Vivi
TTL",,169,1.45,295.2,1.61,79%,196.9,1.05,0.22,Game Changers 2024 EMEA: Kickoff
"Jade
aTTaX",,58,1.45,317.0,1.61,84%,189.9,1.05,0.59,Game Changers 2024 EMEA: Kickoff
"Joliinaa
scoo",,223,1.43,262.0,1.59,83%,159.6,0.93,0.56,Game Changers 2024 EMEA: Kickoff
"Koneko
sanr",(+1),137,1.39,255.6,1.63,80%,174.7,0.95,0.43,Game Changers 2024 EMEA: Kickoff
"els
sanr",,137,1.38,271.4,1.57,82%,186.9,0.94,0.31,Game Changers 2024 EMEA: Kickoff
"B3AUTIFUL
BACK",,162,1.37,297.4,1.54,81%,191.6,1.04,0.30,Game Changers 2024 EMEA: Kickoff
"Cazuuu
Salt",,145,1.37,247.3,1.48,81%,160.2,0.89,0.37,Game Changers 2024 EMEA: Kickoff
"lezâ
Pent",,95,1.37,258.6,1.26,74%,158.7,0.82,0.37,Game Changers 2024 EMEA: Kickoff
"Flora
Time",,42,1.36,280.5,1.28,79%,178.8,0.98,0.48,Game Changers 2024 EMEA: Kickoff
"ylva
TheB",,64,1.35,290.5,1.46,73%,178.9,1.05,0.13,Game Changers 2024 EMEA: Kickoff
"ryota
NOVO.GC",,75,1.35,290.5,1.38,75%,196.7,0.92,0.40,Game Changers 2024 EMEA: Kickoff
"mai
777",,65,1.34,257.0,1.53,77%,160.8,0.94,0.37,Game Changers 2024 EMEA: Kickoff
"eva
FLCV",,102,1.34,227.6,1.54,81%,146.3,0.84,0.37,Game Changers 2024 EMEA: Kickoff
"Ninou
VLNT",,189,1.33,208.6,1.34,84%,128.9,0.75,0.70,Game Changers 2024 EMEA: Kickoff
"Maddy
GLIT",,42,1.33,344.0,1.55,79%,214.3,1.21,0.14,Game Changers 2024 EMEA: Kickoff
"Koyorii
QLSH.S",,71,1.33,243.5,1.65,82%,163.2,0.93,0.18,Game Changers 2024 EMEA: Kickoff
"Sunshiny
Inte",,77,1.33,315.0,1.47,77%,195.7,1.10,0.18,Game Changers 2024 EMEA: Kickoff
"ellie
TOG",,147,1.33,294.3,1.52,78%,186.4,1.02,0.16,Game Changers 2024 EMEA: Kickoff
"Luna
Visi",,100,1.32,231.6,1.35,76%,154.4,0.84,0.16,Game Changers 2024 EMEA: Kickoff
"ritsu
HOWL.M",,147,1.32,215.5,1.57,77%,135.3,0.79,0.18,Game Changers 2024 EMEA: Kickoff
"Nyx
Bett",,82,1.32,292.0,1.41,73%,183.4,1.00,0.18,Game Changers 2024 EMEA: Kickoff
"NiKSi
Revi",,63,1.32,311.0,1.46,79%,184.7,1.11,0.13,Game Changers 2024 EMEA: Kickoff
"xenia
HOWL.M",(+1),147,1.31,234.0,1.36,80%,151.9,0.85,0.45,Game Changers 2024 EMEA: Kickoff
"madv
FLCV",(+1),102,1.31,226.6,1.44,75%,137.3,0.83,0.45,Game Changers 2024 EMEA: Kickoff
"Jules
OP",,113,1.30,233.7,1.34,82%,150.7,0.87,0.59,Game Changers 2024 EMEA: Kickoff
"sillydomi
Para",,68,1.30,275.7,1.43,76%,168.9,0.99,0.44,Game Changers 2024 EMEA: Kickoff
"LiriLia
BACK",,162,1.30,227.8,1.33,80%,154.5,0.79,0.46,Game Changers 2024 EMEA: Kickoff
"elysian
NB",(+1),235,1.30,226.6,1.46,79%,142.8,0.84,0.34,Game Changers 2024 EMEA: Kickoff
"zaina
TOG",,147,1.29,236.4,1.24,80%,141.8,0.84,0.55,Game Changers 2024 EMEA: Kickoff
"Saara
LXT",,61,1.29,310.3,1.39,80%,202.0,1.05,0.23,Game Changers 2024 EMEA: Kickoff
"Eluny
Invi",,185,1.29,232.8,1.34,75%,147.2,0.84,0.47,Game Changers 2024 EMEA: Kickoff
"Rue
TU.O",,110,1.29,244.7,1.52,77%,158.0,0.88,0.25,Game Changers 2024 EMEA: Kickoff
"Panadera
Moto",,101,1.28,239.0,1.34,76%,155.4,0.89,0.31,Game Changers 2024 EMEA: Kickoff
"Rea
Pent",,95,1.28,229.8,1.40,77%,159.1,0.81,0.17,Game Changers 2024 EMEA: Kickoff
"mads
MDK",,314,1.28,259.6,1.41,76%,172.6,0.91,0.23,Game Changers 2024 EMEA: Kickoff
"Sylva
Pani",,157,1.27,200.4,1.24,84%,131.0,0.71,0.61,Game Changers 2024 EMEA: Kickoff
"Nidxvilco
MDK",(+1),314,1.27,237.4,1.51,81%,157.6,0.86,0.32,Game Changers 2024 EMEA: Kickoff
"Serena
VLNT",,189,1.27,241.6,1.53,76%,154.0,0.90,0.26,Game Changers 2024 EMEA: Kickoff
"Smurfette
scoo",,223,1.26,255.2,1.40,74%,166.7,0.89,0.21,Game Changers 2024 EMEA: Kickoff
"St3xlla
YDZQ",,69,1.26,230.0,1.59,75%,159.1,0.90,0.16,Game Changers 2024 EMEA: Kickoff
"aley
RUH",,86,1.26,285.8,1.30,80%,176.6,1.00,0.26,Game Changers 2024 EMEA: Kickoff
"Agla
Team",,138,1.25,268.7,1.30,81%,182.3,0.91,0.33,Game Changers 2024 EMEA: Kickoff
"MoniOvess
Hyen",,70,1.25,228.3,1.40,79%,146.6,0.86,0.59,Game Changers 2024 EMEA: Kickoff
"Toki
FLCV",,102,1.24,239.8,1.42,76%,153.0,0.83,0.13,Game Changers 2024 EMEA: Kickoff
"flora
Visi",,97,1.24,227.0,1.08,78%,146.9,0.72,0.49,Game Changers 2024 EMEA: Kickoff
"Miyori
scoo",(+2),223,1.24,233.1,1.34,78%,149.7,0.80,0.31,Game Changers 2024 EMEA: Kickoff
"aNNja
NSR.I",,90,1.24,249.0,1.38,66%,164.7,0.93,0.19,Game Changers 2024 EMEA: Kickoff
"adamaraver
Cojo",,101,1.23,249.2,1.39,82%,161.7,0.88,0.26,Game Changers 2024 EMEA: Kickoff
"ImWidow
Revi",,63,1.23,219.7,1.33,75%,144.3,0.76,0.17,Game Changers 2024 EMEA: Kickoff
"bee
Pani",,157,1.23,239.8,1.38,74%,158.1,0.83,0.21,Game Changers 2024 EMEA: Kickoff
"julia
One",,38,1.23,263.5,1.37,68%,168.6,0.97,0.13,Game Changers 2024 EMEA: Kickoff
"Juja
Pani",,157,1.23,229.4,1.18,80%,140.9,0.78,0.54,Game Changers 2024 EMEA: Kickoff
"Michou
WRTH",(+1),161,1.23,277.5,1.45,71%,178.7,0.99,0.20,Game Changers 2024 EMEA: Kickoff
"Wolfiee
CEL",,115,1.23,261.8,1.27,73%,162.8,0.90,0.21,Game Changers 2024 EMEA: Kickoff
"HanekoFr
Need",,102,1.22,222.2,1.30,78%,142.5,0.84,0.44,Game Changers 2024 EMEA: Kickoff
"yukina
RZN",,77,1.22,257.0,1.21,71%,167.6,0.83,0.19,Game Changers 2024 EMEA: Kickoff
"Bobbiexo
Invi",,185,1.22,249.2,1.40,73%,161.5,0.89,0.15,Game Changers 2024 EMEA: Kickoff
"anesilia
Auru",(+1),226,1.22,228.2,1.33,80%,143.8,0.84,0.38,Game Changers 2024 EMEA: Kickoff
"AnnaKabana
Visi",,121,1.22,219.8,1.15,74%,141.8,0.74,0.28,Game Changers 2024 EMEA: Kickoff
"paulatinamente
Tan'",,34,1.21,299.0,1.17,65%,188.4,1.00,0.15,Game Changers 2024 EMEA: Kickoff
"DREAM
Cram",,39,1.21,232.0,1.27,77%,150.5,0.85,0.36,Game Changers 2024 EMEA: Kickoff
"Addi
QLSH.S",,71,1.21,206.8,1.10,73%,134.8,0.65,0.56,Game Changers 2024 EMEA: Kickoff
"lirowe
Pent",,95,1.20,218.4,1.15,76%,136.4,0.72,0.23,Game Changers 2024 EMEA: Kickoff
"Mikasha
Asce",,84,1.20,276.5,1.39,69%,185.0,1.01,0.29,Game Changers 2024 EMEA: Kickoff
"Ayaèrna
CG.GC",(+1),154,1.20,190.6,1.13,81%,116.5,0.69,0.49,Game Changers 2024 EMEA: Kickoff
"bakkushaw
QLSH.S",,71,1.20,234.0,1.30,73%,150.5,0.79,0.48,Game Changers 2024 EMEA: Kickoff
"sarah
scoo",(+1),223,1.20,191.3,1.17,81%,123.3,0.70,0.61,Game Changers 2024 EMEA: Kickoff
"ailya
777",,65,1.20,213.5,1.32,69%,140.6,0.77,0.17,Game Changers 2024 EMEA: Kickoff
"Leyre
MDK",(+2),314,1.19,242.8,1.26,78%,156.8,0.86,0.39,Game Changers 2024 EMEA: Kickoff
"Siskofa
Need",,102,1.19,198.6,1.29,77%,130.9,0.75,0.29,Game Changers 2024 EMEA: Kickoff
"pics
Visi",,121,1.19,225.2,1.22,80%,145.8,0.83,0.53,Game Changers 2024 EMEA: Kickoff
"vic2ria
777",,65,1.19,198.0,1.10,72%,127.2,0.68,0.32,Game Changers 2024 EMEA: Kickoff
"MayaMeow
CEL",,115,1.19,208.7,1.12,77%,127.6,0.73,0.48,Game Changers 2024 EMEA: Kickoff
"Ritha
BACK",,162,1.19,207.8,1.16,77%,127.8,0.73,0.54,Game Changers 2024 EMEA: Kickoff
"KADnita
Rank",,76,1.19,205.8,1.24,67%,131.9,0.74,0.24,Game Changers 2024 EMEA: Kickoff
"Kreya
sanr",,137,1.18,206.0,1.39,82%,134.6,0.78,0.20,Game Changers 2024 EMEA: Kickoff
"Shira
Oser",,61,1.18,284.0,1.41,72%,188.7,1.02,0.13,Game Changers 2024 EMEA: Kickoff
"zeyzey
Pent",,95,1.18,248.0,1.26,73%,153.3,0.87,0.14,Game Changers 2024 EMEA: Kickoff
"ness
scoo",(+3),223,1.18,212.5,1.36,78%,139.2,0.78,0.29,Game Changers 2024 EMEA: Kickoff
"fReeze
LUA",,71,1.18,207.8,1.11,85%,130.3,0.72,0.52,Game Changers 2024 EMEA: Kickoff
"Lil Bob
FKS.S",,358,1.17,223.4,1.27,75%,144.7,0.79,0.46,Game Changers 2024 EMEA: Kickoff
"eggy
PXU.GC",,68,1.17,230.3,1.35,79%,150.1,0.79,0.21,Game Changers 2024 EMEA: Kickoff
"serenity
SKULL",,143,1.17,239.9,1.30,76%,150.3,0.88,0.22,Game Changers 2024 EMEA: Kickoff
"LizA
VLNT",,189,1.17,232.0,1.46,76%,151.1,0.87,0.11,Game Changers 2024 EMEA: Kickoff
"Sidra
Elek",,139,1.17,257.1,1.27,76%,168.7,0.91,0.18,Game Changers 2024 EMEA: Kickoff
"Ayuu
TTL",,169,1.17,187.3,1.16,77%,125.2,0.72,0.42,Game Changers 2024 EMEA: Kickoff
"Janevra
Vien",,69,1.17,268.5,1.32,71%,171.2,0.96,0.17,Game Changers 2024 EMEA: Kickoff
"jenn
Salt",,145,1.17,217.8,1.20,73%,133.2,0.76,0.50,Game Changers 2024 EMEA: Kickoff
"matrix
KC.GC",,150,1.16,247.7,1.19,78%,158.5,0.87,0.17,Game Changers 2024 EMEA: Kickoff
"sereen
TU.O",,110,1.16,246.5,1.23,74%,163.4,0.87,0.34,Game Changers 2024 EMEA: Kickoff
"Thuy
ZER.M",,361,1.16,225.8,1.25,75%,144.1,0.83,0.34,Game Changers 2024 EMEA: Kickoff
"dati
BACK",,162,1.16,196.3,1.25,81%,128.2,0.69,0.25,Game Changers 2024 EMEA: Kickoff
"LouuDaf
LUA",,71,1.16,250.0,1.24,76%,152.0,0.89,0.30,Game Changers 2024 EMEA: Kickoff
"Satana
NYAN",,287,1.16,220.3,1.26,72%,147.5,0.80,0.19,Game Changers 2024 EMEA: Kickoff
"Lokkara
NYAN",(+1),287,1.16,216.5,1.29,79%,142.4,0.76,0.32,Game Changers 2024 EMEA: Kickoff
"safiaa
NSR.I",,90,1.15,217.8,1.32,69%,142.7,0.82,0.22,Game Changers 2024 EMEA: Kickoff
"Canxieee
Cojo",,101,1.15,265.0,1.34,78%,173.1,0.93,0.11,Game Changers 2024 EMEA: Kickoff
"Mxcii
CEL",,115,1.15,214.7,1.27,73%,143.2,0.82,0.22,Game Changers 2024 EMEA: Kickoff
"Nami
NSR.I",,90,1.15,227.3,1.20,72%,143.2,0.79,0.33,Game Changers 2024 EMEA: Kickoff
"Duuuda
FATE.F",,81,1.15,223.8,1.19,65%,148.6,0.79,0.22,Game Changers 2024 EMEA: Kickoff
"hori
Cybe",,76,1.15,252.5,1.36,75%,171.9,0.95,0.11,Game Changers 2024 EMEA: Kickoff
"Mel
VLNT",,189,1.15,200.8,1.03,81%,126.7,0.68,0.59,Game Changers 2024 EMEA: Kickoff
"ChloePrice
WRTH",,161,1.14,177.9,1.02,73%,118.3,0.61,0.52,Game Changers 2024 EMEA: Kickoff
"noze
Evoz",,268,1.14,211.9,1.32,72%,141.9,0.80,0.15,Game Changers 2024 EMEA: Kickoff
"sleepy
Elek",,139,1.14,231.0,1.14,74%,147.7,0.78,0.40,Game Changers 2024 EMEA: Kickoff
"Nico
Aran",,100,1.14,262.2,1.29,59%,165.5,0.93,0.14,Game Changers 2024 EMEA: Kickoff
"scarlix
APOF",,69,1.14,219.7,1.16,71%,141.5,0.86,0.28,Game Changers 2024 EMEA: Kickoff
"sleepy
RZN",,77,1.14,235.0,1.35,78%,150.1,0.90,0.29,Game Changers 2024 EMEA: Kickoff
"surlaw
Team",,42,1.14,225.5,1.50,81%,140.1,0.86,0.31,Game Changers 2024 EMEA: Kickoff
"Desi
FKS.S",(+1),358,1.14,227.9,1.15,76%,142.9,0.79,0.36,Game Changers 2024 EMEA: Kickoff
"mous1e
Bumb",,93,1.14,268.0,1.24,78%,188.1,0.95,0.18,Game Changers 2024 EMEA: Kickoff
"tessiik
Rank",,76,1.13,211.3,1.13,64%,126.3,0.70,0.17,Game Changers 2024 EMEA: Kickoff
"cloudy
Elek",,139,1.13,193.3,1.14,83%,131.2,0.71,0.55,Game Changers 2024 EMEA: Kickoff
"snow
On S",,137,1.13,201.6,1.10,75%,134.9,0.72,0.18,Game Changers 2024 EMEA: Kickoff
"Pyareda
TTL",,169,1.13,198.4,1.05,74%,123.4,0.69,0.49,Game Changers 2024 EMEA: Kickoff
"Kira
RZN",,77,1.13,248.8,1.13,71%,162.7,0.82,0.29,Game Changers 2024 EMEA: Kickoff
"Aishi
ANYM",,49,1.13,249.5,1.16,65%,175.1,0.88,0.10,Game Changers 2024 EMEA: Kickoff
"ja2
Huge",,43,1.13,265.5,1.14,58%,176.9,0.93,0.19,Game Changers 2024 EMEA: Kickoff
"jasmi
Left",,74,1.13,231.8,1.24,80%,147.4,0.85,0.20,Game Changers 2024 EMEA: Kickoff
"Nepuchun
20S.GC",,114,1.12,207.0,1.12,77%,141.8,0.75,0.38,Game Changers 2024 EMEA: Kickoff
"auri
NB",,235,1.12,230.1,1.33,77%,150.3,0.83,0.18,Game Changers 2024 EMEA: Kickoff
"chokey
OP",,113,1.12,254.5,1.15,70%,153.6,0.83,0.24,Game Changers 2024 EMEA: Kickoff
"Paula
Cojo",(+1),101,1.12,220.8,1.14,78%,143.5,0.78,0.41,Game Changers 2024 EMEA: Kickoff
"BebeFlow
20S.GC",,114,1.12,258.6,1.16,73%,166.9,0.88,0.24,Game Changers 2024 EMEA: Kickoff
"ninsky
Visi",,121,1.12,220.3,1.07,74%,142.6,0.73,0.19,Game Changers 2024 EMEA: Kickoff
"Blossi
aTTaX",,169,1.12,204.0,1.06,75%,138.1,0.68,0.38,Game Changers 2024 EMEA: Kickoff
"Puffy
Pani",,157,1.12,256.4,1.15,75%,160.0,0.87,0.22,Game Changers 2024 EMEA: Kickoff
"weyvcode
oiso",,47,1.12,283.5,1.31,66%,191.6,0.98,0.21,Game Changers 2024 EMEA: Kickoff
"Hannah
CEL",,115,1.12,219.3,1.13,76%,150.0,0.77,0.41,Game Changers 2024 EMEA: Kickoff
"rainssa
BACK",,162,1.12,203.5,1.05,74%,127.8,0.70,0.49,Game Changers 2024 EMEA: Kickoff
"Mym
TTL",,169,1.12,200.8,1.25,78%,131.0,0.75,0.18,Game Changers 2024 EMEA: Kickoff
"Tretli
PXU.GC",,100,1.12,165.7,1.19,72%,115.7,0.62,0.36,Game Changers 2024 EMEA: Kickoff
"sumi
WRTH",,161,1.12,210.4,1.20,75%,131.6,0.75,0.39,Game Changers 2024 EMEA: Kickoff
"rei
FENR",,43,1.11,186.5,1.00,79%,114.1,0.70,0.51,Game Changers 2024 EMEA: Kickoff
"blxssom
On S",,137,1.11,196.0,1.12,76%,124.4,0.67,0.35,Game Changers 2024 EMEA: Kickoff
"Chrissy
aTTaX",(+1),169,1.11,253.9,1.17,76%,162.6,0.88,0.25,Game Changers 2024 EMEA: Kickoff
"koszii
Valo",,24,1.11,189.0,1.07,71%,120.6,0.67,0.46,Game Changers 2024 EMEA: Kickoff
"angelka
TOG",,147,1.11,199.1,1.16,79%,123.3,0.73,0.36,Game Changers 2024 EMEA: Kickoff
"Koma
TheB",,64,1.11,204.0,1.02,70%,124.8,0.66,0.34,Game Changers 2024 EMEA: Kickoff
"bellatr1x
NYAN",(+1),287,1.11,224.5,1.22,70%,144.2,0.82,0.28,Game Changers 2024 EMEA: Kickoff
"Ririi1
Need",,102,1.11,238.6,1.00,74%,147.8,0.75,0.32,Game Changers 2024 EMEA: Kickoff
"Luna
AMZ.GC",,98,1.11,232.4,1.06,76%,156.5,0.74,0.38,Game Changers 2024 EMEA: Kickoff
"fluxxy
O1O",,122,1.10,205.0,1.04,79%,133.4,0.72,0.49,Game Changers 2024 EMEA: Kickoff
"Ireilla
Rank",,76,1.10,183.0,1.11,79%,131.6,0.67,0.21,Game Changers 2024 EMEA: Kickoff
"Laelanaa
Need",,102,1.10,195.8,1.03,80%,122.9,0.72,0.54,Game Changers 2024 EMEA: Kickoff
"ella
PXU.GC",,100,1.10,180.7,1.09,73%,128.7,0.60,0.35,Game Changers 2024 EMEA: Kickoff
"happy
Para",,68,1.10,215.0,1.18,65%,140.1,0.78,0.26,Game Changers 2024 EMEA: Kickoff
"Xaline
Hyen",,70,1.10,218.0,1.18,64%,144.3,0.74,0.21,Game Changers 2024 EMEA: Kickoff
"Alessia
MDK",(+1),314,1.10,200.0,1.27,74%,132.2,0.76,0.13,Game Changers 2024 EMEA: Kickoff
"ikyoo
FKS.S",,358,1.10,229.3,1.17,70%,151.5,0.81,0.15,Game Changers 2024 EMEA: Kickoff
"Gem
E3S",,38,1.10,240.5,1.10,76%,158.4,0.87,0.32,Game Changers 2024 EMEA: Kickoff
"Luj
FLCV",(+1),102,1.09,221.4,1.18,77%,152.1,0.77,0.43,Game Changers 2024 EMEA: Kickoff
"melloney
NYAN",(+1),287,1.09,212.4,1.13,75%,142.2,0.75,0.26,Game Changers 2024 EMEA: Kickoff
"Amy1ne
WRTH",,161,1.09,241.1,1.24,73%,161.0,0.88,0.13,Game Changers 2024 EMEA: Kickoff
"Pito
Soul",,43,1.09,252.0,1.18,67%,160.9,0.91,0.21,Game Changers 2024 EMEA: Kickoff
"Mali
Invi",,185,1.09,227.4,1.12,69%,147.1,0.79,0.16,Game Changers 2024 EMEA: Kickoff
"t1a
TREM",,168,1.09,227.1,1.10,73%,147.5,0.80,0.25,Game Changers 2024 EMEA: Kickoff
"katZera
SVN",,73,1.09,223.8,1.29,77%,143.4,0.86,0.11,Game Changers 2024 EMEA: Kickoff
"sae2
NB",,141,1.09,150.0,1.05,84%,96.8,0.55,0.55,Game Changers 2024 EMEA: Kickoff
"Jeje
Auru",,226,1.09,243.7,1.21,75%,158.1,0.89,0.13,Game Changers 2024 EMEA: Kickoff
"Kayna
Cojo",,101,1.09,203.8,1.09,76%,129.6,0.71,0.45,Game Changers 2024 EMEA: Kickoff
"inari
Auru",,226,1.09,209.1,1.17,75%,136.4,0.78,0.42,Game Changers 2024 EMEA: Kickoff
"Ixela
HOWL.M",(+1),147,1.09,164.4,0.95,76%,107.7,0.55,0.52,Game Changers 2024 EMEA: Kickoff
"Headless
YDZQ",,69,1.09,194.8,0.90,72%,120.2,0.64,0.71,Game Changers 2024 EMEA: Kickoff
"Lady Uzi
Moto",,101,1.09,204.2,1.12,76%,142.2,0.74,0.23,Game Changers 2024 EMEA: Kickoff
"lexa
TWIS.O",(+1),89,1.09,221.0,1.08,75%,152.3,0.75,0.20,Game Changers 2024 EMEA: Kickoff
"souldier
ANYM",,49,1.09,206.0,1.13,71%,135.9,0.71,0.47,Game Changers 2024 EMEA: Kickoff
"rena
On S",,137,1.09,199.7,1.09,71%,129.0,0.72,0.36,Game Changers 2024 EMEA: Kickoff
"Ralbai
Moto",,101,1.09,207.0,1.04,79%,142.2,0.73,0.38,Game Changers 2024 EMEA: Kickoff
"CanhOo
Salt",,145,1.08,205.8,1.13,71%,134.2,0.77,0.21,Game Changers 2024 EMEA: Kickoff
"Viv
sanr",,137,1.08,177.8,1.07,79%,104.2,0.66,0.47,Game Changers 2024 EMEA: Kickoff
"ASSIMETRIA
NYAN",,287,1.08,213.4,1.08,74%,138.8,0.73,0.29,Game Changers 2024 EMEA: Kickoff
"sandrix
ARTC",,50,1.08,235.5,1.14,68%,157.3,0.82,0.16,Game Changers 2024 EMEA: Kickoff
"Tinylady
Rank",,76,1.08,231.5,1.08,59%,139.2,0.75,0.16,Game Changers 2024 EMEA: Kickoff
"Noor
TWIS.O",,89,1.08,141.6,1.09,76%,100.1,0.54,0.31,Game Changers 2024 EMEA: Kickoff
"Grand God
More",,149,1.08,213.7,1.19,70%,140.3,0.79,0.22,Game Changers 2024 EMEA: Kickoff
"Nathasa
LUA",,71,1.08,183.3,1.20,72%,119.0,0.69,0.14,Game Changers 2024 EMEA: Kickoff
"Nanisan
Bett",,82,1.08,224.3,1.03,65%,151.7,0.74,0.48,Game Changers 2024 EMEA: Kickoff
"winter
FATE.F",,81,1.08,273.3,1.23,77%,175.5,0.94,0.16,Game Changers 2024 EMEA: Kickoff
"Glance
KC.GC",,150,1.08,201.4,1.10,77%,127.9,0.73,0.34,Game Changers 2024 EMEA: Kickoff
"Harmonee
aTTaX",,169,1.08,187.3,0.98,72%,120.7,0.66,0.34,Game Changers 2024 EMEA: Kickoff
"Apagam
QLSH.S",,71,1.08,218.0,1.19,73%,139.0,0.79,0.18,Game Changers 2024 EMEA: Kickoff
"mavi
On S",,137,1.08,245.1,1.20,69%,155.5,0.85,0.18,Game Changers 2024 EMEA: Kickoff
"Gina
PXU.GC",,100,1.07,207.5,1.31,73%,131.4,0.80,0.21,Game Changers 2024 EMEA: Kickoff
"posh spice
20S.GC",,114,1.07,209.0,1.20,73%,137.4,0.74,0.23,Game Changers 2024 EMEA: Kickoff
"door
sanr",,137,1.07,201.4,1.12,72%,127.3,0.66,0.19,Game Changers 2024 EMEA: Kickoff
"jademwah
Azur",,147,1.07,218.6,1.04,70%,141.2,0.74,0.31,Game Changers 2024 EMEA: Kickoff
"polviaa
Left",,74,1.07,249.5,1.07,73%,166.8,0.82,0.31,Game Changers 2024 EMEA: Kickoff
"Neli
FKS.S",,358,1.07,195.3,1.07,78%,124.4,0.67,0.30,Game Changers 2024 EMEA: Kickoff
"Emlux
OP",,113,1.07,239.3,1.13,73%,152.2,0.85,0.23,Game Changers 2024 EMEA: Kickoff
"myinoh
aTTaX",,111,1.07,176.4,1.06,75%,116.4,0.64,0.26,Game Changers 2024 EMEA: Kickoff
"Meganee
CG.GC",,154,1.07,222.3,1.06,68%,146.4,0.76,0.23,Game Changers 2024 EMEA: Kickoff
"kyracujoh
ZER.M",,361,1.07,233.6,1.14,75%,149.4,0.82,0.18,Game Changers 2024 EMEA: Kickoff
"yua
EMUs",,76,1.06,193.7,0.98,74%,115.4,0.71,0.33,Game Changers 2024 EMEA: Kickoff
"MOOP
Elek",,139,1.06,193.3,1.11,82%,134.8,0.70,0.37,Game Changers 2024 EMEA: Kickoff
"moshieroo
TWIS.O",,89,1.06,183.4,1.13,75%,123.3,0.67,0.40,Game Changers 2024 EMEA: Kickoff
"AndraVra
TheB",,64,1.06,225.3,1.14,63%,142.2,0.78,0.16,Game Changers 2024 EMEA: Kickoff
"Dion
Revi",,63,1.06,190.3,0.89,71%,116.2,0.62,0.48,Game Changers 2024 EMEA: Kickoff
"Gixea
RUH",,86,1.06,207.0,1.18,78%,143.1,0.76,0.17,Game Changers 2024 EMEA: Kickoff
"OlczaOlcia
ANM",(+1),133,1.06,200.8,1.08,72%,131.0,0.73,0.23,Game Changers 2024 EMEA: Kickoff
"Wildfire
Team",,69,1.06,241.0,1.13,65%,164.9,0.86,0.30,Game Changers 2024 EMEA: Kickoff
"Melisae
Rank",,76,1.06,207.8,1.06,76%,130.2,0.70,0.34,Game Changers 2024 EMEA: Kickoff
"Lissu
SKULL",(+1),143,1.05,195.6,1.05,75%,130.9,0.68,0.26,Game Changers 2024 EMEA: Kickoff
"Nescargot
Team",,138,1.05,208.1,1.24,71%,137.1,0.75,0.18,Game Changers 2024 EMEA: Kickoff
"kidziax
ANM",,133,1.05,201.7,1.01,72%,131.8,0.71,0.30,Game Changers 2024 EMEA: Kickoff
